,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,,0,,,,,,,,,,,,,,,,,
4,,0,1,,,,,,,,,,,,,,,,
5,0,1,2,4,,,,,,,,,,,,,,,
6,0,2,3,5,7,,,,,,,,,,,,,,
7,0,2,4,6,8,11,,,,,,,,,,,,,
8,1,3,5,8,10,13,15,,,,,,,,,,,,
9,1,4,6,9,12,15,18,21,,,,,,,,,,,
10,1,4,7,10,14,17,20,24,27,,,,,,,,,,
11,1,5,8,12,16,19,23,27,31,34,,,,,,,,,
12,2,5,9,13,17,22,26,30,34,38,42,,,,,,,,
13,2,6,11,15,19,24,28,33,38,42,47,51,,,,,,,
14,3,7,12,16,21,26,31,37,41,46,51,56,61,,,,,,
15,3,7,13,18,23,28,33,39,44,50,55,60,66,72,,,,,
16,3,8,13,19,24,30,36,42,48,54,60,65,71,77,83,,,,
17,3,9,15,20,26,32,39,45,51,57,64,70,76,83,89,95,,,
18,3,9,16,22,28,35,41,48,55,61,68,75,82,88,95,102,109,,
19,4,10,17,23,30,37,44,51,58,65,72,79,87,94,101,109,116,123,
20,4,11,18,25,32,39,47,54,62,69,76,84,92,100,107,114,123,130,138
