,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0,0,1,2,2,3,4,4,5,5,6,7,7,8,9,9,10,11
4,0,1,2,3,4,5,6,7,8,9,11,12,13,13,15,16,17,18
5,1,2,4,5,6,8,9,10,12,13,15,16,18,19,20,22,23,25
6,2,3,5,7,8,10,12,14,16,17,19,21,23,24,26,28,30,32
7,2,4,6,8,11,13,15,17,19,22,24,26,28,30,32,35,37,39
8,3,5,8,10,13,15,18,20,23,26,28,31,33,36,39,41,44,47
9,4,6,9,12,15,18,21,24,27,30,33,37,39,42,45,48,51,54
10,4,7,10,14,17,20,24,27,31,34,38,41,44,48,51,55,58,62
11,5,8,12,16,19,23,27,31,34,38,42,46,50,54,57,61,65,69
12,5,9,13,17,22,26,30,34,38,42,47,51,55,60,64,68,72,76
13,6,11,15,19,24,28,33,38,42,47,51,56,60,65,70,75,79,84
14,7,12,16,21,26,31,37,41,46,51,56,61,66,71,76,82,87,92
15,7,13,18,23,28,33,39,44,50,55,60,66,72,77,83,88,94,100
16,8,13,19,24,30,36,42,48,54,60,65,71,77,83,89,95,101,107
17,9,15,20,26,32,39,45,51,57,64,70,76,83,89,95,102,109,114
18,9,16,22,28,35,41,48,55,61,68,75,82,88,95,102,109,116,123
19,10,17,23,30,37,44,51,58,65,72,79,87,94,101,109,116,123,130
20,11,18,25,32,39,47,54,62,69,76,84,92,100,107,114,123,130,138
