# Output of 'KaSim' '-i' 'model_000_000.kappa' '-l' '90' '-p' '10' '-o' 'model_000_000.005.out.txt' '-syntax' '3' '--no-log' -seed 585175929
# "uuid" : "978530225"
"[T]","rpoA_RNA","rpoB_RNA","rpoC_RNA","rpoD_RNA","rpoE_RNA","rpoH_RNA","fliA_RNA","rpoN_RNA","rpoS_RNA","fecI_RNA","rpoA_Prot","rpoB_Prot","rpoC_Prot","rpoD_Prot","rpoE_Prot","rpoH_Prot","fliA_Prot","rpoN_Prot","rpoS_Prot","fecI_Prot","RNAP_cplx"
0.,13,7,6,6,6,6,8,4,5,1,56,28,28,9,4,2,3,3,7,0,0
10.,17,9,8,8,7,9,10,6,7,5,56,28,28,4,1,1,3,3,3,0,4
20.,19,12,10,10,9,12,11,9,9,6,56,28,28,6,3,0,2,1,3,0,6
30.,22,12,10,10,11,13,11,12,9,2,56,28,28,4,3,1,2,1,4,0,8
40.,26,14,13,10,8,15,12,16,8,5,56,28,28,3,4,2,1,2,3,0,8
50.,27,16,14,11,11,16,13,16,9,7,56,28,28,5,1,0,3,3,4,0,5
60.,32,18,16,12,11,16,14,19,8,5,56,28,28,6,3,0,3,2,5,0,5
70.,30,19,17,12,13,18,14,21,10,7,56,28,28,6,3,2,2,2,3,0,4
80.,30,20,19,13,13,15,12,24,10,7,56,28,28,6,3,0,1,2,1,0,9
90.,33,20,19,11,14,12,15,24,11,6,56,28,28,7,4,1,1,3,1,0,6
